geoid,name,year,est_total_population,population_density,percentage_race_white,percentage_race_black_african_american,percentage_race_american_indian_alaska_native,percentage_race_asian,percentage_race_native_hawaiian_pacific_islander,percentage_race_other_race,percentage_race_two_plus_races,percentage_race_two_plus_races_includes_other_race,percentage_race_two_plus_races_excludes_other_race,registered_voters_total,partisan_lean_left,partisan_lean_right,polling_locations_total,registered_voters_per_polling_location,polling_locations_removed_since_last_general,polling_locations_added_since_last_general,est_total_housing_units,est_total_occupied_housing_units,est_total_vacant_housing_units,est_occupied_housing_units_with_vehicle_available,est_occupied_housing_units_no_vehicle_available
0500000US29163,"Pike County, Missouri",2016,18475,,0.896,0.064,0.004,0.002,0.001,0.009,0.024,0,0.024,,,,,,0,,,,,,
0500000US29165,"Platte County, Missouri",2016,94970,,0.868,0.069,0.004,0.026,0,0.008,0.025,0.002,0.023,,,,,,0,,,,,,
0500000US29167,"Polk County, Missouri",2016,31113,,0.958,0.008,0.009,0.003,0,0.003,0.02,0,0.02,,,,,,0,,,,,,
0500000US29169,"Pulaski County, Missouri",2016,53302,,0.75,0.14,0.01,0.018,0.003,0.032,0.047,0.005,0.041,,,,,,0,,,,,,
0500000US29171,"Putnam County, Missouri",2016,4877,,0.974,0.003,0.001,0.006,0,0.001,0.014,0.006,0.008,,,,,,0,,,,,,
0500000US29173,"Ralls County, Missouri",2016,10225,,0.968,0.012,0.006,0,0,0,0.013,0.001,0.013,,,,,,0,,,,,,
0500000US29175,"Randolph County, Missouri",2016,25081,,0.904,0.051,0.004,0.005,0.001,0.004,0.031,0.002,0.029,,,,,,0,,,,,,
0500000US29177,"Ray County, Missouri",2016,22921,,0.956,0.015,0.005,0.002,0,0.005,0.017,0.002,0.015,,,,,,0,,,,,,
0500000US29179,"Reynolds County, Missouri",2016,6530,,0.957,0.017,0.008,0.001,0.001,0.002,0.013,0,0.013,,,,,,0,,,,,,
0500000US29181,"Ripley County, Missouri",2016,13936,,0.966,0.002,0.002,0.001,0,0.002,0.028,0.001,0.027,,,,,,0,,,,,,
0500000US29183,"St. Charles County, Missouri",2016,379856,,0.904,0.044,0.002,0.023,0,0.005,0.021,0.001,0.02,,,,,,0,,,,,,
0500000US29185,"St. Clair County, Missouri",2016,9444,,0.959,0.008,0.004,0.003,0,0.004,0.023,0,0.023,,,,,,0,,,,,,
0500000US29186,"Ste. Genevieve County, Missouri",2016,17937,,0.961,0.011,0,0.001,0.02,0.001,0.006,0,0.006,,,,,,0,,,,,,
0500000US29187,"St. Francois County, Missouri",2016,66230,,0.933,0.047,0.002,0.002,0,0.001,0.015,0.002,0.013,,,,,,0,,,,,,
0500000US29189,"St. Louis County, Missouri",2016,1000560,,0.692,0.236,0.002,0.038,0,0.007,0.025,0.002,0.023,,,,,,0,,,,,,
0500000US29195,"Saline County, Missouri",2016,23214,,0.858,0.053,0.001,0.003,0.01,0.036,0.039,0.008,0.031,,,,,,0,,,,,,
0500000US29197,"Schuyler County, Missouri",2016,4396,,0.977,0.011,0.001,0,0,0,0.012,0,0.012,,,,,,0,,,,,,
0500000US29199,"Scotland County, Missouri",2016,4893,,0.979,0.017,0,0,0,0,0.005,0,0.005,,,,,,0,,,,,,
0500000US29201,"Scott County, Missouri",2016,38994,,0.857,0.121,0.004,0.001,0,0.005,0.012,0.001,0.011,,,,,,0,,,,,,
0500000US29203,"Shannon County, Missouri",2016,8256,,0.956,0.002,0.016,0,0,0.004,0.022,0,0.022,,,,,,0,,,,,,
0500000US29205,"Shelby County, Missouri",2016,6148,,0.974,0.018,0,0.001,0,0.001,0.005,0.002,0.003,,,,,,0,,,,,,
