geoid,cntyfp,tractfp,name,year,total_population,population_density,polling_locations_total,percentage_race_black_african_american
1400000US13011970100,13011,13011970100,"Census Tract 9701, Banks County, Georgia",2020,5334,84,4,0
1400000US13011970200,13011,13011970200,"Census Tract 9702, Banks County, Georgia",2012,5336,72,0,0.084
1400000US13011970200,13011,13011970200,"Census Tract 9702, Banks County, Georgia",2014,5099,68,0,0.058
1400000US13011970200,13011,13011970200,"Census Tract 9702, Banks County, Georgia",2016,4799,64,4,0.036
1400000US13011970200,13011,13011970200,"Census Tract 9702, Banks County, Georgia",2018,4730,63,4,0.028
1400000US13011970200,13011,13011970200,"Census Tract 9702, Banks County, Georgia",2020,4848,65,4,0.02
1400000US13011970300,13011,13011970300,"Census Tract 9703, Banks County, Georgia",2012,3870,85,0,0
1400000US13011970300,13011,13011970300,"Census Tract 9703, Banks County, Georgia",2014,4185,92,0,0.012
1400000US13011970300,13011,13011970300,"Census Tract 9703, Banks County, Georgia",2016,4299,95,3,0.034
1400000US13011970300,13011,13011970300,"Census Tract 9703, Banks County, Georgia",2018,4651,102,3,0.063
1400000US13011970300,13011,13011970300,"Census Tract 9703, Banks County, Georgia",2020,4926,108,3,0.05
1400000US13011970400,13011,13011970400,"Census Tract 9704, Banks County, Georgia",2012,3809,79,0,0.016
1400000US13011970400,13011,13011970400,"Census Tract 9704, Banks County, Georgia",2014,3822,79,0,0.033
1400000US13011970400,13011,13011970400,"Census Tract 9704, Banks County, Georgia",2016,3967,82,1,0.022
1400000US13011970400,13011,13011970400,"Census Tract 9704, Banks County, Georgia",2018,3676,76,1,0.01
1400000US13011970400,13011,13011970400,"Census Tract 9704, Banks County, Georgia",2020,3792,78,1,0.017
1400000US13013180103,13013,13013180103,"Census Tract 1801.03, Barrow County, Georgia",2012,3737,318,0,0.024
1400000US13013180103,13013,13013180103,"Census Tract 1801.03, Barrow County, Georgia",2014,4249,361,0,0.03
1400000US13013180103,13013,13013180103,"Census Tract 1801.03, Barrow County, Georgia",2016,4697,399,1,0.021
1400000US13013180103,13013,13013180103,"Census Tract 1801.03, Barrow County, Georgia",2018,5395,459,1,0.07
1400000US13013180103,13013,13013180103,"Census Tract 1801.03, Barrow County, Georgia",2020,5803,493,1,0.105
1400000US13013180104,13013,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2012,1881,597,0,0.103
1400000US13013180104,13013,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2014,2002,637,0,0.082
1400000US13013180104,13013,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2016,2032,646,0,0.123
1400000US13013180104,13013,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2018,1906,601,0,0.156
1400000US13013180104,13013,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2020,2252,664,0,0.096
1400000US13013180105,13013,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2012,2755,437,0,0.054
1400000US13013180105,13013,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2014,2761,438,0,0.043
1400000US13013180105,13013,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2016,2907,461,1,0.084
1400000US13013180105,13013,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2018,2785,442,1,0.034
1400000US13013180105,13013,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2020,3031,482,1,0.029
