stfp,geoid,cntyfp,baseyear,lastgeyear,changeyear,changenopolls,nopollsadded,nopollsremoved,baseyearpctcvapblack,baseyearpctblack,baseyearpcthispanic,baseyearpctcvapwhite,baseyearpctwhite,baseyearpopdensity,baseyearpollinglocstotal,baseyeartotalpop,baseyearcvap,baseyearpopperpoll,baseyearcvapperpoll,lastgeyearpollinglocstotal,lastgeyeartotalpop,lastgeyearcvap,lastgeyearpopperpoll,lastgeyearcvapperpoll,changeyearpopperpoll,changeyearcvapperpoll
55,55051,55051,2022,2020,2020 - 2022,0,0,0,0.001,0.001,0.015,0.949,0.958,8.091,12,6135,5195,511,432,12,5680,4820,473,401,38,31
55,55053,55053,2014,2012,2012 - 2014,2,1,1,0.022,0.022,0.029,0.871,0.888,20.800,23,20545,15880,893,690,23,20435,15645,888,680,5,10
55,55053,55053,2016,2014,2014 - 2016,0,0,0,0.020,0.02,0.031,0.867,0.883,20.820,23,20565,15835,894,688,23,20545,15880,893,690,1,-2
55,55055,55055,2022,2020,2020 - 2022,2,1,1,0.009,0.009,0.075,0.890,0.923,154.414,25,85930,66860,3437,2674,25,84835,65435,3393,2617,44,57
55,55057,55057,2014,2012,2012 - 2014,0,0,0,0.021,0.022,0.028,0.923,0.944,34.685,26,26605,20915,1023,804,26,26700,20695,1026,795,-3,9
55,55057,55057,2016,2014,2014 - 2016,4,2,2,0.023,0.024,0.030,0.920,0.944,34.418,26,26400,20805,1015,800,26,26605,20915,1023,804,-8,-4
55,55057,55057,2018,2016,2016 - 2018,2,1,1,0.023,0.023,0.030,0.918,0.94,34.444,26,26420,20890,1016,803,26,26400,20805,1015,800,1,3
55,55037,55037,2022,2020,2020 - 2022,2,1,1,0.004,0.005,0.004,0.962,0.965,9.375,8,4575,3850,571,481,8,4310,3645,538,455,33,26
55,55037,55037,2020,2018,2018 - 2020,2,1,1,0.007,0.006,0.005,0.973,0.976,8.830,8,4310,3645,538,455,8,4335,3605,541,450,-3,5
55,55037,55037,2018,2016,2016 - 2018,3,2,1,0.003,0.003,0.014,0.975,0.986,8.881,8,4335,3605,541,450,7,4475,3755,639,536,-98,-86
55,55037,55037,2016,2014,2014 - 2016,0,0,0,0.002,0.002,0.010,0.982,0.99,9.168,7,4475,3755,639,536,7,4475,3645,639,520,0,16
55,55033,55033,2018,2016,2016 - 2018,6,3,3,0.006,0.007,0.018,0.930,0.94,52.343,34,44500,34940,1308,1027,34,44350,34970,1304,1028,4,-1
55,55031,55031,2016,2014,2014 - 2016,2,1,1,0.012,0.012,0.014,0.921,0.93,33.512,26,43705,34415,1680,1323,26,43900,34325,1688,1320,-8,3
55,55029,55029,2014,2012,2012 - 2014,0,0,0,0.005,0.005,0.026,0.949,0.965,57.660,21,27790,22690,1323,1080,21,27870,22560,1327,1074,-4,6
55,55027,55027,2020,2018,2018 - 2020,8,3,5,0.027,0.027,0.050,0.897,0.93,100.000,41,87570,69225,2135,1688,43,87775,68410,2041,1590,94,98
55,55007,55007,2020,2018,2018 - 2020,0,0,0,0.003,0.004,0.022,0.846,0.858,10.211,28,15090,12415,538,443,28,14990,12245,535,437,3,6
55,55019,55019,2018,2016,2016 - 2018,0,0,0,0.003,0.005,0.044,0.933,0.963,28.511,44,34490,23760,783,540,44,34485,23690,783,538,0,2
55,55019,55019,2020,2018,2018 - 2020,5,3,2,0.002,0.004,0.050,0.927,0.955,28.660,45,34670,23825,770,529,44,34490,23760,783,540,-13,-11
55,55019,55019,2022,2020,2020 - 2022,4,2,2,0.002,0.007,0.055,0.921,0.947,28.689,45,34705,23805,771,529,45,34670,23825,770,529,1,0
55,55009,55009,2020,2018,2018 - 2020,36,10,26,0.025,0.026,0.090,0.804,0.838,495.310,52,262560,192065,5049,3693,68,259785,188265,3820,2768,1229,925
55,55021,55021,2014,2012,2012 - 2014,2,1,1,0.015,0.015,0.027,0.939,0.958,74.014,33,56660,43320,1716,1312,33,56595,43070,1715,1305,1,7
55,55081,55081,2020,2018,2018 - 2020,2,1,1,0.018,0.018,0.048,0.903,0.921,51.232,33,46155,33985,1398,1029,33,45500,33425,1378,1012,20,17
55,55087,55087,2016,2014,2014 - 2016,11,5,6,0.012,0.011,0.040,0.886,0.903,285.151,49,181800,134525,3710,2745,50,179140,131430,3582,2628,128,117
55,55009,55009,2022,2020,2020 - 2022,29,21,8,0.026,0.026,0.095,0.796,0.825,506.318,65,268395,197970,4129,3045,52,262560,192065,5049,3693,-920,-648
55,55073,55073,2020,2018,2018 - 2020,31,15,16,0.005,0.005,0.029,0.883,0.892,87.682,59,135485,102565,2296,1738,60,135265,102095,2254,1701,42,37
55,55073,55073,2018,2016,2016 - 2018,23,11,12,0.006,0.007,0.027,0.890,0.908,87.535,60,135265,102095,2254,1701,61,135365,101680,2219,1666,35,35
55,55073,55073,2016,2014,2014 - 2016,7,4,3,0.006,0.007,0.026,0.894,0.915,87.615,61,135365,101680,2219,1666,60,134885,100530,2248,1675,-29,-9
55,55033,55033,2020,2018,2018 - 2020,4,1,3,0.006,0.007,0.020,0.926,0.935,52.967,32,45030,35705,1407,1115,34,44500,34940,1308,1027,99,88
55,55033,55033,2022,2020,2020 - 2022,8,5,3,0.003,0.008,0.022,0.921,0.93,53.190,34,45220,36000,1330,1058,32,45030,35705,1407,1115,-77,-57
55,55073,55073,2014,2012,2012 - 2014,5,2,3,0.007,0.007,0.024,0.898,0.916,87.304,60,134885,100530,2248,1675,61,134040,98645,2197,1617,51,58
55,55035,55035,2014,2012,2012 - 2014,4,2,2,0.007,0.007,0.021,0.915,0.931,157.707,37,100605,78595,2719,2124,37,98950,76780,2674,2075,45,49
