pollid,pollname,x,y,changeyear,baseyear,changestatus,state
70ade062-2884-493c-910f-04534c47dc4c,POWELL MIDDLE SCHOOL,-90.203,32.353,2016 - 2018,2018,no_change,MS
70ade062-2884-493c-910f-04534c47dc4c,POWELL MIDDLE SCHOOL,-90.203,32.353,2018 - 2022,2022,no_change,MS
70b51408-d446-4fd9-9d01-a21adbe25d40,RICEVILLE/HWY. 568/PALMER RD.,-90.587,31.087,2012 - 2014,2014,no_change,MS
70b51408-d446-4fd9-9d01-a21adbe25d40,RICEVILLE/HWY. 568/PALMER RD.,-90.587,31.087,2014 - 2016,2016,no_change,MS
70b51408-d446-4fd9-9d01-a21adbe25d40,RICEVILLE/HWY. 568/PALMER RD.,-90.587,31.087,2016 - 2018,2018,no_change,MS
70b51408-d446-4fd9-9d01-a21adbe25d40,RICEVILLE/HWY. 568/PALMER RD.,-90.587,31.087,2018 - 2022,2022,no_change,MS
70c69c3e-9e28-466b-bdfe-3d18e2ce3025,FIRE STATION #14 (PARIS),-89.454,34.178,2012 - 2014,2014,no_change,MS
70c69c3e-9e28-466b-bdfe-3d18e2ce3025,FIRE STATION #14 (PARIS),-89.454,34.178,2014 - 2016,2016,no_change,MS
70c69c3e-9e28-466b-bdfe-3d18e2ce3025,FIRE STATION #14 (PARIS),-89.454,34.178,2016 - 2018,2018,no_change,MS
70c69c3e-9e28-466b-bdfe-3d18e2ce3025,FIRE STATION #14 (PARIS),-89.454,34.178,2018 - 2022,2022,removed,MS
70ce2808-e595-42cb-97bf-f3c012fe03dd,LEXIE,-90.17,31.08,2012 - 2014,2014,no_change,MS
70ce2808-e595-42cb-97bf-f3c012fe03dd,LEXIE,-90.17,31.08,2014 - 2016,2016,removed,MS
70dfc122-e501-46e2-9736-29075fd5e871,HUBBARD SALEM @ TRI-STATE COMMERCE PARK/BUILDING 1000,-88.19,34.812,2012 - 2014,2014,no_change,MS
70dfc122-e501-46e2-9736-29075fd5e871,HUBBARD SALEM @ TRI-STATE COMMERCE PARK/BUILDING 1000,-88.19,34.812,2014 - 2016,2016,no_change,MS
70dfc122-e501-46e2-9736-29075fd5e871,HUBBARD SALEM @ TRI-STATE COMMERCE PARK/BUILDING 1000,-88.19,34.812,2016 - 2018,2018,no_change,MS
70dfc122-e501-46e2-9736-29075fd5e871,HUBBARD SALEM @ TRI-STATE COMMERCE PARK/BUILDING 1000,-88.19,34.812,2018 - 2022,2022,removed,MS
70ea0015-052f-4848-93b1-42622a992621,LIBERTY BAPTIST CHURCH,-90.036,32.341,2012 - 2014,2014,no_change,MS
70ea0015-052f-4848-93b1-42622a992621,LIBERTY BAPTIST CHURCH,-90.036,32.341,2014 - 2016,2016,no_change,MS
