pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E6100000D34D6210587956C0C1CAA145B6B33F40,RED HOUSE COMMUNITY BUILDING,31.702,-89.896,MS,2014,2012 - 2014,0101000020E6100000D34D6210587956C0C1CAA145B6B33F40,added
0101000020E6100000B29DEFA7C6C356C0B81E85EB51B83F40,MULTIPURPOSE CENTER,31.720,-91.059,MS,2014,2012 - 2014,0101000020E6100000B29DEFA7C6C356C0B81E85EB51B83F40,added
0101000020E61000008D976E12832856C0068195438BCC3F40,CHAPPARAL/DIAMOND,31.799,-88.633,MS,2014,2012 - 2014,0101000020E61000008D976E12832856C0068195438BCC3F40,added
0101000020E6100000C1CAA145B62356C0B6F3FDD478094040,HOPEWELL VFD,32.074,-88.558,MS,2014,2012 - 2014,0101000020E6100000C1CAA145B62356C0B6F3FDD478094040,added
0101000020E61000000C022B87167956C05C8FC2F5280C4040,CATO FIRE STATION,32.095,-89.892,MS,2014,2012 - 2014,0101000020E61000000C022B87167956C05C8FC2F5280C4040,added
0101000020E61000009CC420B0722056C0B81E85EB51184040,SNELL VFD,32.190,-88.507,MS,2014,2012 - 2014,0101000020E61000009CC420B0722056C0B81E85EB51184040,added
0101000020E6100000BC749318047E56C0B4C876BE9F1A4040,ROBINHOOD BAPTIST CHURCH,32.208,-89.969,MS,2014,2012 - 2014,0101000020E6100000BC749318047E56C0B4C876BE9F1A4040,added
0101000020E610000048E17A14AEB756C0713D0AD7A3204040,BERACHAH BAPTIST CHURCH,32.255,-90.870,MS,2014,2012 - 2014,0101000020E610000048E17A14AEB756C0713D0AD7A3204040,added
0101000020E6100000C976BE9F1A8F56C0C520B07268214040,TREE OF LIFE CHURCH,32.261,-90.236,MS,2014,2012 - 2014,0101000020E6100000C976BE9F1A8F56C0C520B07268214040,added
0101000020E6100000508D976E128356C0A8C64B3789214040,HCC-RANKIN/ CAREER-TECHNICAL BUILDING,32.262,-90.048,MS,2014,2012 - 2014,0101000020E6100000508D976E128356C0A8C64B3789214040,added
0101000020E6100000FED478E926B956C01283C0CAA1254040,ELKS LODGE #95,32.294,-90.893,MS,2014,2012 - 2014,0101000020E6100000FED478E926B956C01283C0CAA1254040,added
0101000020E6100000560E2DB29D8F56C0BA490C022B274040,BLACK'S CHAPEL MISSIONARY BAPTIST CHURCH,32.306,-90.244,MS,2014,2012 - 2014,0101000020E6100000560E2DB29D8F56C0BA490C022B274040,added
0101000020E6100000DBF97E6ABC8C56C0D578E92631284040,CHERRY GROVE MISSIONARY,32.314,-90.199,MS,2014,2012 - 2014,0101000020E6100000DBF97E6ABC8C56C0D578E92631284040,added
0101000020E6100000E17A14AE478156C0B81E85EB51284040,NEW VISION FELLOWSHIP,32.315,-90.020,MS,2014,2012 - 2014,0101000020E6100000E17A14AE478156C0B81E85EB51284040,added
0101000020E6100000022B8716D9A656C060E5D022DB294040,EDWARDS LIBRARY,32.327,-90.607,MS,2014,2012 - 2014,0101000020E6100000022B8716D9A656C060E5D022DB294040,added
0101000020E61000009A999999998956C0986E1283C02A4040,FIRE STATION #16,32.334,-90.150,MS,2014,2012 - 2014,0101000020E61000009A999999998956C0986E1283C02A4040,added
0101000020E61000002FDD2406818556C0B29DEFA7C62B4040,YMCA BLDG.,32.342,-90.086,MS,2014,2012 - 2014,0101000020E61000002FDD2406818556C0B29DEFA7C62B4040,added
0101000020E6100000BA490C022BB756C0931804560E2D4040,SPRING HILL MB CHURCH,32.352,-90.862,MS,2014,2012 - 2014,0101000020E6100000BA490C022BB756C0931804560E2D4040,added
0101000020E61000008FC2F5285CAF56C0931804560E2D4040,BOVINA BAPTIST CHURCH,32.352,-90.740,MS,2014,2012 - 2014,0101000020E61000008FC2F5285CAF56C0931804560E2D4040,added
