pollid,pollname,x,y,stfp,cntyfp,tractfp,state
0f5f47d1-066c-402e-bbf4-4bba9dedda7a,"Census Tract 9605, Fairfield County, South Carolina",-81.125,34.343,45,39,45039960500,SC
0f670df9-26df-476b-b550-bd8aa4f5838e,"Census Tract 203.01, Horry County, South Carolina",-78.861,33.992,45,51,45051020301,SC
0f670df9-26df-476b-b550-bd8aa4f5838e,"Census Tract 203, Horry County, South Carolina",-78.861,33.992,45,51,45051020300,SC
0faaaa8c-ce5c-47cc-baa2-cb958d3970fc,"Census Tract 122, Anderson County, South Carolina",-82.796,34.427,45,7,45007012200,SC
0fc550fd-9ffb-4c13-ae34-297ba6ff9ede,"Census Tract 26.04, Charleston County, South Carolina",-79.996,32.818,45,19,45019002604,SC
0fed4993-6954-40ba-9ebc-38ee99d64f1c,"Census Tract 113, Orangeburg County, South Carolina",-80.871,33.484,45,75,45075011300,SC
100d6056-a6b8-443c-916f-2539640b0d3f,"Census Tract 31, Richland County, South Carolina",-81.022,34.009,45,79,45079003100,SC
102da193-70ea-4087-9311-24ebf2483431,"Census Tract 9706.02, Cherokee County, South Carolina",-81.646,35.009,45,21,45021970602,SC
102efb66-ff1f-436f-a133-8e3b381b34b6,"Census Tract 11.02, Beaufort County, South Carolina",-80.571,32.388,45,13,45013001102,SC
102efb66-ff1f-436f-a133-8e3b381b34b6,"Census Tract 11.04, Beaufort County, South Carolina",-80.571,32.388,45,13,45013001104,SC
10423a97-900c-4a73-a655-57830169a9f9,"Census Tract 203.02, Berkeley County, South Carolina",-79.953,33.304,45,15,45015020302,SC
10423a97-900c-4a73-a655-57830169a9f9,"Census Tract 203.04, Berkeley County, South Carolina",-79.953,33.304,45,15,45015020304,SC
10427039-ff45-4dcc-befd-6dcf8ab21823,"Census Tract 38.03, Greenville County, South Carolina",-82.441,34.944,45,45,45045003803,SC
1043973c-71d7-4726-b891-186bd6d61c05,"Census Tract 205.05, Lexington County, South Carolina",-81.075,33.993,45,63,45063020505,SC
10729a08-93fe-4026-8a53-a8952ff2211e,"Census Tract 9503, Abbeville County, South Carolina",-82.526,34.294,45,1,45001950300,SC
10824443-7743-4303-8265-7d0b377589bc,"Census Tract 107.03, Richland County, South Carolina",-80.992,34.07,45,79,45079010703,SC
1090c7d5-3e30-41ac-87a0-2e6cbb095f24,"Census Tract 9604, Saluda County, South Carolina",-81.662,33.845,45,81,45081960400,SC
10a0035f-5f97-4939-ae89-2c6c4705a17a,"Census Tract 220.07, Spartanburg County, South Carolina",-81.959,34.876,45,83,45083022007,SC
10a53d25-f4f4-4980-b759-50290b216831,"Census Tract 204.03, Berkeley County, South Carolina",-79.91,32.849,45,15,45015020403,SC
10a53d25-f4f4-4980-b759-50290b216831,"Census Tract 204.07, Berkeley County, South Carolina",-79.91,32.849,45,15,45015020407,SC
10e2fc78-0670-4f29-b872-1d686564d32b,"Census Tract 114.15, Richland County, South Carolina",-80.882,34.143,45,79,45079011415,SC
10e2fc78-0670-4f29-b872-1d686564d32b,"Census Tract 114.24, Richland County, South Carolina",-80.882,34.143,45,79,45079011424,SC
10fcf2fb-a053-424f-a0b8-a87eb634617e,"Census Tract 2, Beaufort County, South Carolina",-80.74,32.493,45,13,45013000200,SC
11117e7a-a37d-44f1-ad91-c2a3953efd3a,"Census Tract 201, Horry County, South Carolina",-78.979,34.111,45,51,45051020100,SC
112904c8-1dac-464c-810f-32853f336a71,"Census Tract 206.02, Berkeley County, South Carolina",-79.965,33.09,45,15,45015020602,SC
112904c8-1dac-464c-810f-32853f336a71,"Census Tract 206, Berkeley County, South Carolina",-79.965,33.09,45,15,45015020600,SC
115147d4-0fa7-4423-b61f-d4bcec162601,"Census Tract 108.16, Dorchester County, South Carolina",-80.136,32.961,45,35,45035010816,SC
115147d4-0fa7-4423-b61f-d4bcec162601,"Census Tract 108.23, Dorchester County, South Carolina",-80.136,32.961,45,35,45035010823,SC
115ba631-bf81-4178-8252-ea67c80cb12d,"Census Tract 9601, Clarendon County, South Carolina",-79.907,33.872,45,27,45027960100,SC
1160659e-2e7e-469b-b30f-bab98527c374,"Census Tract 111, Beaufort County, South Carolina",-80.728,32.178,45,13,45013011100,SC
116cec4c-696b-4dd9-be65-53f3abfdf455,"Census Tract 607, York County, South Carolina",-81.051,34.967,45,91,45091060700,SC
1175c9c0-c458-4a90-8b0d-f1b9602f8b80,"Census Tract 110, Beaufort County, South Carolina",-80.696,32.206,45,13,45013011000,SC
118a20ba-6d3a-4f7f-9113-dd467b5af6ef,"Census Tract 211.12, Lexington County, South Carolina",-81.176,34.075,45,63,45063021112,SC
11a0a591-5249-4464-8d36-bd701526e489,"Census Tract 207.03, Lexington County, South Carolina",-81.133,33.904,45,63,45063020703,SC
11dd8e69-23cc-4fa2-8809-5d6fc9ea6a96,"Census Tract 15, Sumter County, South Carolina",-80.341,33.909,45,85,45085001500,SC
11ecc373-4cda-46aa-8e89-1c4dbf362859,"Census Tract 704, Horry County, South Carolina",-79.07,33.837,45,51,45051070400,SC
11fb237b-3519-499a-9576-12213a864368,"Census Tract 102, Darlington County, South Carolina",-80.168,34.393,45,31,45031010200,SC
1234f166-3e66-4a16-9d74-e46a089ddff0,"Census Tract 49.01, Charleston County, South Carolina",-79.789,32.789,45,19,45019004901,SC
1264bd4c-f05c-4133-81d3-7b80f5d2605f,"Census Tract 9501, Jasper County, South Carolina",-81.108,32.468,45,53,45053950100,SC
1290f3df-e634-498c-b963-78cacd7b4400,"Census Tract 202.02, Lexington County, South Carolina",-81.068,33.975,45,63,45063020202,SC
12cb4cc6-3cda-49ac-8441-1a515b421278,"Census Tract 38.01, Greenville County, South Carolina",-82.43,34.914,45,45,45045003801,SC
12d0faea-4c03-436c-ab54-b7649dedc907,"Census Tract 40.01, Greenville County, South Carolina",-82.354,35.031,45,45,45045004001,SC
12d77585-b181-4bf5-b68f-9b378c0506fa,"Census Tract 207.02, Aiken County, South Carolina",-81.953,33.523,45,3,45003020702,SC
12d9cf53-2d1d-4526-9830-95852b5f83bc,"Census Tract 40, Charleston County, South Carolina",-79.993,32.847,45,19,45019004000,SC
12de9a1b-418b-4ab0-88ea-f9d736c068ce,"Census Tract 9504, Marion County, South Carolina",-79.257,34.22,45,67,45067950400,SC
12f863ab-6c59-44e7-836d-eb74c3397bd3,"Census Tract 5.03, Beaufort County, South Carolina",-80.733,32.407,45,13,45013000503,SC
134a9b01-83bf-40c6-8fc4-5423507fcafe,"Census Tract 37.01, Greenville County, South Carolina",-82.469,34.879,45,45,45045003701,SC
13669996-01ee-467a-8ff9-6c1715ec129b,"Census Tract 9703.04, Greenwood County, South Carolina",-82.213,34.199,45,47,45047970304,SC
138551a9-b10f-44e3-8b4c-5309d18b7327,"Census Tract 6, Anderson County, South Carolina",-82.642,34.489,45,7,45007000600,SC
13bad056-0ac9-417e-ae2c-3a3866267594,"Census Tract 109, Anderson County, South Carolina",-82.846,34.532,45,7,45007010900,SC
13dc55ac-6664-4625-89f4-c1eb88eeb546,"Census Tract 9702, Dillon County, South Carolina",-79.265,34.435,45,33,45033970200,SC
14616e8b-6353-45fd-828f-6b7857e55182,"Census Tract 103.04, Richland County, South Carolina",-81.164,34.093,45,79,45079010304,SC
1472f609-ff6b-4897-9a6c-b7db522dc0fe,"Census Tract 9704, Greenwood County, South Carolina",-82.163,34.188,45,47,45047970400,SC
1477f2c4-d182-4546-bb54-e59da09aaa97,"Census Tract 9706.01, Williamsburg County, South Carolina",-79.832,33.662,45,89,45089970601,SC
