"state","census_tract","year","polling_locations_total","polling_locations_removed_since_last_general","polling_locations_added_since_last_general","est_total_population","population_density","percentage_race_white","percentage_race_black_african_american"
"SC","Census Tract 1",2012,1,NULL,NULL,2967,10758,"0.895","0.084"
"SC","Census Tract 2",2012,1,NULL,NULL,1547,5340,"1","0"
"SC","Census Tract 4",2012,1,NULL,NULL,3248,13337,"0.796","0.175"
"SC","Census Tract 5",2012,1,NULL,NULL,2135,8268,"0.97","0.018"
"SC","Census Tract 6",2012,NULL,NULL,NULL,1262,3857,"0.849","0.049"
"SC","Census Tract 7",2012,1,NULL,NULL,3015,10816,"0.715","0.228"
"SC","Census Tract 9",2012,NULL,NULL,NULL,1452,2864,"0.174","0.798"
"SC","Census Tract 10",2012,NULL,NULL,NULL,2303,13163,"0.622","0.336"
"SC","Census Tract 11",2012,1,NULL,NULL,2179,5127,"0.328","0.597"
"SC","Census Tract 15",2012,NULL,NULL,NULL,1478,8324,"0.21","0.767"
"SC","Census Tract 16",2012,NULL,NULL,NULL,1392,4285,"0.439","0.531"
"SC","Census Tract 19.01",2012,1,NULL,NULL,3695,958,"0.871","0.114"
"SC","Census Tract 19.02",2012,1,NULL,NULL,4246,1330,"0.755","0.224"
"SC","Census Tract 20.02",2012,1,NULL,NULL,5571,2642,"0.888","0.099"
"SC","Census Tract 20.03",2012,3,NULL,NULL,8257,378,"0.633","0.343"
"SC","Census Tract 20.04",2012,1,NULL,NULL,2075,819,"0.963","0"
"SC","Census Tract 20.05",2012,NULL,NULL,NULL,6067,1264,"0.919","0.049"
"SC","Census Tract 20.06",2012,4,NULL,NULL,4270,2332,"0.808","0.164"
"SC","Census Tract 20.07",2012,NULL,NULL,NULL,3567,1807,"0.942","0.016"
"SC","Census Tract 21.01",2012,2,NULL,NULL,11346,339,"0.653","0.293"
"SC","Census Tract 21.03",2012,1,NULL,NULL,3632,86,"0.528","0.379"
"SC","Census Tract 21.04",2012,1,NULL,NULL,1448,132,"0.985","0"
"SC","Census Tract 21.05",2012,1,NULL,NULL,1713,209,"0.991","0.005"
"SC","Census Tract 22",2012,1,NULL,NULL,2883,69,"0.418","0.54"
"SC","Census Tract 23",2012,1,NULL,NULL,1641,24,"0.615","0.341"
"SC","Census Tract 24",2012,2,NULL,NULL,4120,35,"0.395","0.543"
"SC","Census Tract 25.02",2012,2,NULL,NULL,7170,159,"0.495","0.484"
"SC","Census Tract 26.04",2012,1,NULL,NULL,3861,2908,"0.713","0.274"
"SC","Census Tract 26.05",2012,NULL,NULL,NULL,3454,2394,"0.509","0.414"
"SC","Census Tract 26.06",2012,NULL,NULL,NULL,2055,840,"0.852","0.123"
"SC","Census Tract 26.11",2012,NULL,NULL,NULL,2801,1942,"0.872","0.119"
"SC","Census Tract 26.12",2012,3,NULL,NULL,6751,3754,"0.556","0.356"
"SC","Census Tract 26.13",2012,NULL,NULL,NULL,4863,2990,"0.777","0.186"
"SC","Census Tract 26.14",2012,NULL,NULL,NULL,3257,2699,"0.57","0.411"
"SC","Census Tract 27.01",2012,3,NULL,NULL,2057,1375,"0.303","0.645"
"SC","Census Tract 27.02",2012,NULL,NULL,NULL,5207,4875,"0.2","0.78"
"SC","Census Tract 28.01",2012,1,NULL,NULL,4815,2176,"0.778","0.189"
"SC","Census Tract 28.02",2012,2,NULL,NULL,2766,1566,"0.931","0"
"SC","Census Tract 29",2012,1,NULL,NULL,2744,2779,"0.672","0.319"
"SC","Census Tract 30",2012,1,NULL,NULL,3197,1635,"0.975","0.014"
"SC","Census Tract 31.04",2012,1,NULL,NULL,4769,2449,"0.485","0.353"
"SC","Census Tract 31.05",2012,2,NULL,NULL,4016,2114,"0.6","0.291"
"SC","Census Tract 31.06",2012,1,NULL,NULL,6605,1315,"0.525","0.403"
"SC","Census Tract 31.07",2012,2,NULL,NULL,5018,610,"0.317","0.493"
"SC","Census Tract 31.08",2012,NULL,NULL,NULL,3068,1208,"0.386","0.575"
"SC","Census Tract 31.09",2012,NULL,NULL,NULL,2883,1816,"0.551","0.412"
"SC","Census Tract 31.10",2012,1,NULL,NULL,6208,3463,"0.477","0.479"
"SC","Census Tract 31.11",2012,1,NULL,NULL,5943,1114,"0.333","0.609"
"SC","Census Tract 31.13",2012,1,NULL,NULL,2547,1020,"0.559","0.373"
"SC","Census Tract 31.14",2012,1,NULL,NULL,7365,3386,"0.653","0.238"
"SC","Census Tract 31.15",2012,NULL,NULL,NULL,6617,1461,"0.533","0.395"
"SC","Census Tract 32",2012,NULL,NULL,NULL,836,166,"0.805","0.156"
"SC","Census Tract 33",2012,4,NULL,NULL,4184,2258,"0.329","0.653"
"SC","Census Tract 34",2012,1,NULL,NULL,4488,1592,"0.32","0.582"
"SC","Census Tract 35",2012,1,NULL,NULL,2646,2552,"0.786","0.168"
"SC","Census Tract 36",2012,3,NULL,NULL,2561,3821,"0.634","0.338"
"SC","Census Tract 37",2012,1,NULL,NULL,2795,2678,"0.172","0.782"
"SC","Census Tract 38",2012,2,NULL,NULL,3418,3611,"0.16","0.814"
"SC","Census Tract 39",2012,3,NULL,NULL,5258,1611,"0.423","0.52"
"SC","Census Tract 40",2012,NULL,NULL,NULL,2642,4219,"0.096","0.894"
"SC","Census Tract 43",2012,2,NULL,NULL,2831,3925,"0.042","0.95"
"SC","Census Tract 44",2012,3,NULL,NULL,2219,1183,"0.103","0.831"
"SC","Census Tract 46.06",2012,4,NULL,NULL,8577,2075,"0.847","0.132"
"SC","Census Tract 46.07",2012,1,NULL,NULL,5801,2159,"0.963","0.02"
"SC","Census Tract 46.08",2012,5,NULL,NULL,19995,857,"0.922","0.036"
"SC","Census Tract 46.09",2012,2,NULL,NULL,6180,717,"0.737","0.24"
"SC","Census Tract 46.10",2012,1,NULL,NULL,2776,399,"0.731","0.264"
"SC","Census Tract 46.11",2012,2,NULL,NULL,8461,1001,"0.907","0.073"
"SC","Census Tract 46.12",2012,1,NULL,NULL,6203,2631,"0.956","0.025"
"SC","Census Tract 46.13",2012,NULL,NULL,NULL,1682,1012,"0.983","0"
"SC","Census Tract 46.14",2012,2,NULL,NULL,7169,1072,"0.833","0.146"
"SC","Census Tract 47.01",2012,2,NULL,NULL,4858,2223,"0.92","0.067"
"SC","Census Tract 47.02",2012,1,NULL,NULL,1891,2257,"0.863","0.107"
"SC","Census Tract 48",2012,1,NULL,NULL,1905,740,"0.987","0.004"
"SC","Census Tract 49.01",2012,2,NULL,NULL,1951,1609,"1","0"
"SC","Census Tract 49.02",2012,NULL,NULL,NULL,2238,694,"0.968","0.024"
"SC","Census Tract 50",2012,2,NULL,NULL,4632,17,"0.356","0.612"
"SC","Census Tract 51",2012,1,NULL,NULL,1708,3567,"0.729","0.242"
"SC","Census Tract 52",2012,NULL,NULL,NULL,4718,6465,"0.757","0.188"
"SC","Census Tract 53",2012,3,NULL,NULL,4041,8040,"0.187","0.809"
"SC","Census Tract 54",2012,NULL,NULL,NULL,2134,743,"0.105","0.878"
"SC","Census Tract 55",2012,NULL,NULL,NULL,1464,605,"0.277","0.673"
"SC","Census Tract 56",2012,3,NULL,NULL,8765,752,"0.691","0.259"
"SC","Census Tract 57",2012,2,NULL,NULL,8228,557,"0.855","0.118"
"SC","Census Tract 58",2012,1,NULL,NULL,5747,154,"0.743","0.199"
"SC","Census Tract 9901",2012,NULL,NULL,NULL,0,0,"0","0"
"SC","Census Tract 9701",2012,3,NULL,NULL,8231,134,"0.926","0.048"
"SC","Census Tract 9702.01",2012,3,NULL,NULL,2949,217,"0.644","0.32"
"SC","Census Tract 9702.02",2012,4,NULL,NULL,7135,181,"0.781","0.143"
"SC","Census Tract 9703.01",2012,1,NULL,NULL,3761,1028,"0.391","0.547"
"SC","Census Tract 9703.02",2012,1,NULL,NULL,4104,536,"0.656","0.324"
"SC","Census Tract 9704.01",2012,2,NULL,NULL,3432,113,"0.883","0.101"
"SC","Census Tract 9704.02",2012,3,NULL,NULL,6483,117,"0.915","0.057"
"SC","Census Tract 9705.01",2012,NULL,NULL,NULL,2206,296,"0.83","0.132"
"SC","Census Tract 9705.02",2012,4,NULL,NULL,5099,1043,"0.404","0.582"
"SC","Census Tract 9705.03",2012,1,NULL,NULL,1246,82,"0.947","0.026"
"SC","Census Tract 9706.01",2012,2,NULL,NULL,4978,232,"0.744","0.226"
"SC","Census Tract 9706.02",2012,3,NULL,NULL,2191,39,"0.993","0.007"
"SC","Census Tract 9707",2012,3,NULL,NULL,3536,47,"0.894","0.074"
"SC","Census Tract 201",2012,1,NULL,NULL,2383,1796,"0.399","0.594"
"SC","Census Tract 202",2012,3,NULL,NULL,3379,1700,"0.407","0.593"
"SC","Census Tract 203",2012,2,NULL,NULL,3546,971,"0.253","0.713"
"SC","Census Tract 204",2012,1,NULL,NULL,2854,60,"0.788","0.188"
"SC","Census Tract 205",2012,2,NULL,NULL,2609,20,"0.741","0.249"
"SC","Census Tract 206.01",2012,2,NULL,NULL,2317,19,"0.693","0.284"
"SC","Census Tract 206.02",2012,2,NULL,NULL,4181,60,"0.621","0.368"
"SC","Census Tract 207",2012,1,NULL,NULL,2094,47,"0.616","0.338"
"SC","Census Tract 208",2012,3,NULL,NULL,4938,73,"0.726","0.241"
"SC","Census Tract 209",2012,1,NULL,NULL,2703,33,"0.74","0.229"
"SC","Census Tract 210",2012,2,NULL,NULL,2024,270,"0.605","0.338"
"SC","Census Tract 9501.01",2012,1,NULL,NULL,5158,96,"0.739","0.222"
"SC","Census Tract 9501.02",2012,1,NULL,NULL,4762,152,"0.575","0.362"
"SC","Census Tract 9502",2012,2,NULL,NULL,4099,41,"0.684","0.284"
"SC","Census Tract 9503",2012,2,NULL,NULL,2349,32,"0.691","0.24"
"SC","Census Tract 9504",2012,5,NULL,NULL,7275,66,"0.644","0.346"
"SC","Census Tract 9505.01",2012,1,NULL,NULL,1867,58,"0.341","0.641"
"SC","Census Tract 9505.02",2012,3,NULL,NULL,6292,340,"0.654","0.321"
"SC","Census Tract 9506",2012,3,NULL,NULL,6247,57,"0.473","0.516"
"SC","Census Tract 9507",2012,4,NULL,NULL,5479,39,"0.888","0.1"
"SC","Census Tract 9508",2012,1,NULL,NULL,2934,23,"0.604","0.366"
"SC","Census Tract 9601",2012,3,NULL,NULL,3428,66,"0.781","0.16"
"SC","Census Tract 9602.01",2012,4,NULL,NULL,2380,34,"0.515","0.476"
"SC","Census Tract 9602.02",2012,NULL,NULL,NULL,673,6412,"0.475","0.514"
"SC","Census Tract 9603",2012,2,NULL,NULL,1998,23,"0.56","0.415"
"SC","Census Tract 9604",2012,3,NULL,NULL,2326,45,"0.335","0.59"
"SC","Census Tract 9605",2012,4,NULL,NULL,5479,145,"0.24","0.727"
"SC","Census Tract 9606",2012,2,NULL,NULL,2942,34,"0.454","0.537"
"SC","Census Tract 9607.01",2012,1,NULL,NULL,4296,161,"0.477","0.502"
"SC","Census Tract 9607.02",2012,1,NULL,NULL,1267,33,"0.675","0.325"
"SC","Census Tract 9607.03",2012,NULL,NULL,NULL,3337,195,"0.755","0.233"
"SC","Census Tract 9608.01",2012,4,NULL,NULL,3690,49,"0.246","0.749"
"SC","Census Tract 9608.02",2012,1,NULL,NULL,2930,47,"0.485","0.509"
"SC","Census Tract 9701",2012,2,NULL,NULL,2040,25,"0.443","0.557"
"SC","Census Tract 9702",2012,2,NULL,NULL,1678,13,"0.706","0.274"
"SC","Census Tract 9703",2012,4,NULL,NULL,5888,30,"0.529","0.441"
"SC","Census Tract 9704.01",2012,4,NULL,NULL,3700,25,"0.696","0.291"
"SC","Census Tract 9704.02",2012,2,NULL,NULL,3616,230,"0.697","0.274"
"SC","Census Tract 9705",2012,3,NULL,NULL,5692,946,"0.452","0.548"
"SC","Census Tract 9706",2012,3,NULL,NULL,7857,82,"0.536","0.447"
"SC","Census Tract 9707",2012,4,NULL,NULL,5891,42,"0.702","0.241"
"SC","Census Tract 9708",2012,3,NULL,NULL,2303,9,"0.498","0.493"
"SC","Census Tract 9901",2012,NULL,NULL,NULL,0,0,"0","0"
"SC","Census Tract 101",2012,2,NULL,NULL,3901,35,"0.353","0.613"
"SC","Census Tract 102",2012,3,NULL,NULL,5476,104,"0.906","0.079"
"SC","Census Tract 103",2012,2,NULL,NULL,5115,330,"0.659","0.312"
"SC","Census Tract 104",2012,2,NULL,NULL,6312,145,"0.879","0.109"
"SC","Census Tract 105",2012,1,NULL,NULL,2818,1761,"0.712","0.283"
