localityid,geoid,name,x,y,stfp,cntyfp,tractfp
07ee56d8-6ace-42f6-ab76-d1d7f68dec7c,1400000US28135950100,"Census Tract 9501, Tallahatchie County, Mississippi",-89.939,34.117,28,135,28135950100
07f9725e-c677-4978-9f0a-d56426464e7e,1400000US28067950600,"Census Tract 9506, Jones County, Mississippi",-89.156,31.666,28,067,28067950600
0807ede4-4185-4dfa-9ab1-cd1d3dd30967,1400000US28117950301,"Census Tract 9503.01, Prentiss County, Mississippi",-88.551,34.659,28,117,28117950301
080a74b1-47ee-45e1-b507-b828c6dccc06,1400000US28001000200,"Census Tract 2, Adams County, Mississippi",-91.333,31.609,28,001,28001000200
0840439b-e228-4a6d-9f5d-5b4c1699cb90,1400000US28049010502,"Census Tract 105.02, Hinds County, Mississippi",-90.436,32.447,28,049,28049010502
0864c996-0171-4a6d-84dc-595f581a1b84,1400000US28099010200,"Census Tract 102, Neshoba County, Mississippi",-89.172,32.810,28,099,28099010200
0874f758-16f2-4a12-868b-6738120c3e64,1400000US28077960200,"Census Tract 9602, Lawrence County, Mississippi",-90.112,31.565,28,077,28077960200
089325cb-8c70-477b-91f0-6d3cdc501c36,1400000US28137950302,"Census Tract 9503.02, Tate County, Mississippi",-90.175,34.624,28,137,28137950302
089cdc62-b852-445d-a10b-9d284381e3b6,1400000US28121021003,"Census Tract 210.03, Rankin County, Mississippi",-90.191,32.087,28,121,28121021003
08a16515-d549-4728-9a28-7c78589d2c3e,1400000US28077960300,"Census Tract 9603, Lawrence County, Mississippi",-90.186,31.415,28,077,28077960300
08a63706-1c3d-4bbd-8ed5-0203cd228332,1400000US28145950600,"Census Tract 9506, Union County, Mississippi",-89.155,34.467,28,145,28145950600
08e041d5-3048-4024-9a06-adcfd1c46c86,1400000US28121020402,"Census Tract 204.02, Rankin County, Mississippi",-90.090,32.181,28,121,28121020402
090dc84f-519a-41e2-8f79-f4fa9d8a79d4,1400000US28075000200,"Census Tract 2, Lauderdale County, Mississippi",-88.705,32.365,28,075,28075000200
0932c1bb-05e4-499b-95e2-6441964537b8,1400000US28067950700,"Census Tract 9507, Jones County, Mississippi",-89.120,31.694,28,067,28067950700
094588a5-1219-4bc7-ac06-08b6502d7253,1400000US28049002100,"Census Tract 21, Hinds County, Mississippi",-90.224,32.314,28,049,28049002100
0972ef9a-e676-46ef-b162-578c2db6d871,1400000US28047003304,"Census Tract 33.04, Harrison County, Mississippi",-88.966,30.436,28,047,28047003304
0972ef9a-e676-46ef-b162-578c2db6d871,1400000US28047003312,"Census Tract 33.12, Harrison County, Mississippi",-88.966,30.436,28,047,28047003312
