localityid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
79c456f3-7ec0-4807-8142-fb4aa058a3f2,PINE HILL VOL FIRE DEPT#1,33.521,-81.054,SC,2016,2014 - 2016,0101000020E6100000FA7E6ABC744354C0A69BC420B0C24040,removed
79d0275c-7fd5-4f3a-8a69-7ac9e9a69fa5,FLAGLER FIRE STATION,33.667,-79.440,SC,2022,2020 - 2022,0101000020E61000005C8FC2F528DC53C04C37894160D54040,added
79de3531-302e-458a-922d-e46f8803d3e4,E L WRIGHT MIDDLE SCHOOL,34.083,-80.926,SC,2014,2012 - 2014,0101000020E610000025068195433B54C0B4C876BE9F0A4140,no_change
79de3531-302e-458a-922d-e46f8803d3e4,E L WRIGHT MIDDLE SCHOOL,34.083,-80.926,SC,2016,2014 - 2016,0101000020E610000025068195433B54C0B4C876BE9F0A4140,no_change
79de3531-302e-458a-922d-e46f8803d3e4,E L WRIGHT MIDDLE SCHOOL,34.083,-80.926,SC,2018,2016 - 2018,0101000020E610000025068195433B54C0B4C876BE9F0A4140,no_change
79de3531-302e-458a-922d-e46f8803d3e4,E L WRIGHT MIDDLE SCHOOL,34.083,-80.926,SC,2020,2018 - 2020,0101000020E610000025068195433B54C0B4C876BE9F0A4140,no_change
79de3531-302e-458a-922d-e46f8803d3e4,E L WRIGHT MIDDLE SCHOOL,34.083,-80.926,SC,2022,2020 - 2022,0101000020E610000025068195433B54C0B4C876BE9F0A4140,no_change
79e1d154-c81f-4f1c-8fd5-906fc1244b5d,ST PHILIP NERI CATHOLIC CHURCH,35.017,-80.966,SC,2014,2012 - 2014,0101000020E6100000E7FBA9F1D23D54C01904560E2D824140,no_change
79e1d154-c81f-4f1c-8fd5-906fc1244b5d,ST PHILIP NERI CATHOLIC CHURCH,35.017,-80.966,SC,2016,2014 - 2016,0101000020E6100000E7FBA9F1D23D54C01904560E2D824140,no_change
79e1d154-c81f-4f1c-8fd5-906fc1244b5d,ST PHILIP NERI CATHOLIC CHURCH,35.017,-80.966,SC,2018,2016 - 2018,0101000020E6100000E7FBA9F1D23D54C01904560E2D824140,removed
79fa28e0-fc89-48b6-8218-7b8efe7aa311,ST. WILLIAMS CATHOLIC CHURCH,33.923,-81.707,SC,2014,2012 - 2014,0101000020E61000006891ED7C3F6D54C0A01A2FDD24F64040,no_change
79fa28e0-fc89-48b6-8218-7b8efe7aa311,ST. WILLIAMS CATHOLIC CHURCH,33.923,-81.707,SC,2016,2014 - 2016,0101000020E61000006891ED7C3F6D54C0A01A2FDD24F64040,no_change
79fa28e0-fc89-48b6-8218-7b8efe7aa311,ST. WILLIAMS CATHOLIC CHURCH,33.923,-81.707,SC,2018,2016 - 2018,0101000020E61000006891ED7C3F6D54C0A01A2FDD24F64040,no_change
79fa28e0-fc89-48b6-8218-7b8efe7aa311,ST. WILLIAMS CATHOLIC CHURCH,33.923,-81.707,SC,2020,2018 - 2020,0101000020E61000006891ED7C3F6D54C0A01A2FDD24F64040,removed
79fa28e0-fc89-48b6-8218-7b8efe7aa311,ST. WILLIAMS CATHOLIC CHURCH,33.923,-81.707,SC,2022,2020 - 2022,0101000020E61000006891ED7C3F6D54C0A01A2FDD24F64040,added
7a1e7932-25fb-4c42-8e21-64e8f4ccc382,REIDVILLE ELEMENTARY SCHOOL,34.861,-82.111,SC,2020,2018 - 2020,0101000020E6100000C976BE9F1A8754C091ED7C3F356E4140,added
7a1e7932-25fb-4c42-8e21-64e8f4ccc382,REIDVILLE ELEMENTARY SCHOOL,34.861,-82.111,SC,2022,2020 - 2022,0101000020E6100000C976BE9F1A8754C091ED7C3F356E4140,no_change
7a3dd3b5-cdfc-47bc-a004-268159bab8ab,AGAPE WORSHIP CENTER,34.160,-80.924,SC,2020,2018 - 2020,0101000020E61000004260E5D0223B54C014AE47E17A144140,added
